Date,Weight,Mood
8/19/2021,252.8,1
8/20/2021,254,2
8/21/2021,254.8,3
8/22/2021,252.4,3
8/23/2021,253.4,4
8/24/2021,250,5
8/25/2021,249.8,3
8/26/2021,250.6,4
8/29/2021,,3
9/1/2021,249.6,1
9/2/2021,248.6,2
9/3/2021,248.6,1
9/4/2021,,4
9/7/2021,248.8,1
9/8/2021,248.6,4
9/9/2021,247.6,3
9/10/2021,247.8,4
9/11/2021,248,3
9/13/2021,247.8,2
9/14/2021,246.2,3
9/15/2021,246,3
9/16/2021,245.2,4
9/17/2021,243.6,4
9/21/2021,240.8,2
9/23/2021,241.8,1
9/26/2021,241.6,1
9/27/2021,241,1
9/29/2021,240.8,3
9/30/2021,239.6,3
10/4/2021,239,2
10/6/2021,238.4,4
10/11/2021,238.6,2
10/12/2021,237.6,
10/14/2021,235.2,3
10/15/2021,235,2
10/16/2021,232.2,1
10/20/2021,233,3
10/28/2021,229.8,1
11/1/2021,232.2,1
11/3/2021,230.8,1
11/4/2021,230.4,3
11/8/2021,228.7,2
11/14/2021,226.6,3
11/30/2021,224.6,4
12/5/2021,222.8,2
12/14/2021,222,3
12/19/2021,220.6,1
12/26/2021,,4
12/28/2021,220.4,5
12/29/2021,218.4,5